iter	Passed	Remaining
0	10	10238
1	20	10438
2	29	9827
3	36	9028
4	45	9113
5	48	8093
6	51	7366
7	54	6803
8	57	6359
9	60	6003
10	63	5730
11	66	5489
12	69	5287
13	72	5111
14	75	4958
15	78	4832
16	81	4717
17	84	4615
18	87	4536
19	90	4445
20	95	4455
21	101	4494
22	108	4615
23	111	4537
24	114	4467
25	117	4400
26	120	4336
27	123	4277
28	126	4220
29	128	4168
30	131	4122
31	134	4077
32	137	4036
33	140	3996
34	143	3961
35	146	3927
36	149	3893
37	152	3863
38	155	3832
39	158	3807
40	161	3778
41	165	3771
42	168	3743
43	171	3719
44	174	3697
45	175	3646
46	178	3624
47	181	3604
48	184	3588
49	187	3566
50	190	3545
51	193	3528
52	196	3514
53	199	3497
54	202	3482
55	205	3466
56	208	3452
57	211	3439
58	214	3425
59	217	3410
60	220	3396
61	223	3382
62	226	3369
63	229	3355
64	232	3344
65	235	3329
66	238	3317
67	241	3305
68	243	3291
69	246	3279
70	249	3267
71	252	3256
72	255	3246
73	258	3236
74	261	3225
75	264	3215
76	267	3205
77	270	3194
78	273	3183
79	276	3174
80	278	3163
81	281	3153
82	284	3146
83	287	3137
84	290	3128
85	293	3119
86	296	3113
87	299	3105
88	302	3097
89	305	3089
90	308	3081
91	311	3073
92	314	3065
93	317	3057
94	320	3049
95	322	3041
96	325	3034
97	328	3027
98	331	3019
99	336	3025
100	340	3029
101	344	3030
102	347	3028
103	351	3026
104	355	3028
105	359	3029
106	362	3025
107	365	3018
108	368	3011
109	371	3004
110	374	2996
111	376	2988
112	379	2980
113	382	2974
114	385	2966
115	388	2959
116	391	2951
117	394	2945
118	396	2938
119	399	2930
120	402	2924
121	405	2918
122	408	2911
123	412	2916
124	415	2909
125	418	2902
126	421	2896
127	424	2890
128	427	2884
129	430	2878
130	433	2872
131	435	2866
132	438	2859
133	441	2853
134	444	2848
135	447	2841
136	450	2835
137	453	2829
138	455	2824
139	458	2819
140	461	2813
141	464	2808
142	467	2802
143	470	2797
144	473	2791
145	476	2787
146	479	2783
147	482	2779
148	485	2774
149	488	2769
150	491	2765
151	494	2760
152	497	2755
153	500	2750
154	503	2744
155	506	2739
156	509	2734
157	512	2729
158	515	2724
159	518	2719
160	520	2714
161	523	2707
162	526	2702
163	529	2696
164	533	2697
165	535	2691
166	538	2686
167	541	2681
168	544	2676
169	547	2671
170	550	2667
171	553	2662
172	555	2657
173	558	2653
174	561	2648
175	564	2643
176	567	2638
177	570	2634
178	573	2629
179	576	2624
180	578	2618
181	581	2614
182	584	2609
183	587	2604
184	590	2600
185	593	2596
186	595	2590
187	598	2586
188	601	2581
189	604	2577
190	607	2572
191	610	2568
192	613	2563
193	616	2559
194	618	2555
195	621	2550
196	624	2545
197	627	2541
198	630	2536
199	632	2531
200	635	2527
201	638	2523
202	641	2520
203	644	2516
204	647	2512
205	650	2508
206	653	2503
207	656	2498
208	659	2494
209	663	2495
210	665	2490
211	668	2485
212	671	2481
213	674	2477
214	677	2473
215	680	2470
216	683	2464
217	685	2459
218	688	2456
219	691	2451
220	694	2448
221	697	2443
222	699	2438
223	702	2433
224	705	2430
225	715	2451
226	720	2454
227	725	2457
228	733	2470
229	741	2481
230	750	2496
231	755	2499
232	763	2512
233	771	2525
234	776	2529
235	785	2542
236	793	2554
237	801	2565
238	809	2576
239	817	2589
240	825	2599
241	830	2600
242	839	2616
243	852	2642
244	859	2649
245	867	2659
246	876	2671
247	881	2671
248	885	2669
249	887	2663
250	890	2658
251	895	2657
252	898	2652
253	902	2651
254	907	2651
255	911	2649
256	915	2647
257	919	2643
258	923	2642
259	927	2639
260	931	2637
261	937	2641
262	948	2656
263	959	2674
264	966	2681
265	970	2676
266	973	2673
267	977	2670
268	981	2667
269	990	2677
270	993	2673
271	996	2667
272	1001	2665
273	1015	2689
274	1026	2706
275	1037	2720
276	1049	2738
277	1060	2754
278	1071	2769
279	1084	2789
280	1090	2790
281	1098	2797
282	1107	2804
283	1114	2810
284	1124	2820
285	1135	2835
286	1143	2841
287	1152	2849
288	1157	2848
289	1165	2854
290	1173	2858
291	1182	2866
292	1187	2864
293	1195	2869
294	1202	2873
295	1210	2879
296	1216	2878
297	1224	2883
298	1231	2887
299	1239	2892
300	1246	2894
301	1254	2899
302	1262	2904
303	1269	2907
304	1279	2914
305	1286	2917
306	1293	2920
307	1301	2924
308	1309	2929
309	1318	2933
310	1327	2940
311	1332	2938
312	1339	2939
313	1343	2934
314	1353	2942
315	1358	2941
316	1366	2944
317	1379	2958
318	1387	2962
319	1394	2963
320	1406	2975
321	1446	3046
322	1471	3084
323	1507	3145
324	1537	3192
325	1573	3252
326	1593	3279
327	1623	3325
328	1645	3356
329	1668	3388
330	1686	3408
331	1717	3455
332	1739	3483
333	1755	3499
334	1766	3506
335	1780	3519
336	1785	3512
337	1803	3532
338	1832	3572
339	1842	3576
340	1846	3567
341	1859	3578
342	1867	3577
343	1875	3576
344	1883	3575
345	1887	3567
346	1899	3573
347	1902	3563
348	1904	3553
349	1912	3552
350	1919	3549
351	1930	3554
352	1935	3547
353	1942	3545
354	1948	3541
355	1952	3531
356	1962	3534
357	1965	3525
358	1974	3524
359	1981	3522
360	1984	3512
361	1989	3507
362	1996	3502
363	2000	3495
364	2008	3494
365	2012	3486
366	2019	3483
367	2026	3481
368	2030	3472
369	2034	3464
370	2039	3457
371	2047	3456
372	2050	3446
373	2054	3438
374	2062	3437
375	2066	3429
376	2073	3426
377	2081	3424
378	2084	3415
379	2091	3412
380	2095	3403
381	2098	3395
382	2101	3386
383	2105	3376
384	2112	3374
385	2115	3364
386	2126	3368
387	2129	3359
388	2137	3357
389	2145	3355
390	2148	3345
391	2152	3338
392	2160	3336
393	2166	3332
394	2169	3323
395	2177	3321
396	2184	3317
397	2192	3316
398	2199	3312
399	2205	3307
400	2213	3307
401	2218	3299
402	2225	3297
403	2230	3289
404	2238	3287
405	2242	3281
406	2250	3279
407	2259	3278
408	2266	3275
409	2271	3268
410	2279	3267
411	2287	3264
412	2291	3256
413	2299	3255
414	2312	3260
415	2320	3257
416	2332	3261
417	2341	3260
418	2349	3258
419	2360	3259
420	2368	3256
421	2372	3250
422	2381	3248
423	2389	3246
424	2397	3243
425	2403	3238
426	2412	3236
427	2418	3232
428	2425	3228
429	2431	3223
430	2440	3221
431	2447	3217
432	2451	3210
433	2459	3207
434	2468	3206
435	2474	3200
436	2482	3198
437	2489	3194
438	2497	3191
439	2504	3186
440	2510	3182
441	2518	3179
442	2524	3174
443	2533	3173
444	2540	3168
445	2549	3166
446	2556	3163
447	2564	3159
448	2570	3154
449	2578	3151
450	2584	3146
451	2594	3145
452	2600	3140
453	2608	3137
454	2616	3133
455	2620	3126
456	2628	3123
457	2634	3118
458	2644	3116
459	2650	3110
460	2658	3108
461	2665	3104
462	2669	3096
463	2678	3094
464	2684	3088
465	2694	3087
466	2699	3080
467	2706	3077
468	2714	3072
469	2719	3066
470	2726	3062
471	2731	3055
472	2740	3053
473	2746	3047
474	2752	3041
475	2761	3040
476	2766	3033
477	2774	3029
478	2779	3023
479	2788	3020
480	2794	3014
481	2803	3013
482	2809	3007
483	2816	3003
484	2822	2997
485	2830	2993
486	2838	2989
487	2846	2986
488	2853	2981
489	2858	2975
490	2867	2972
491	2873	2966
492	2882	2964
493	2886	2956
494	2895	2953
495	2901	2948
496	2909	2945
497	2918	2941
498	2925	2937
499	2933	2933
500	2941	2929
501	2948	2924
502	2955	2920
503	2963	2916
504	2968	2910
505	2977	2906
506	2983	2901
507	2992	2897
508	2996	2890
509	3004	2886
510	3014	2884
511	3026	2884
512	3036	2882
513	3047	2881
514	3054	2876
515	3060	2870
516	3067	2865
517	3075	2861
518	3082	2857
519	3091	2853
520	3099	2849
521	3105	2844
522	3115	2841
523	3121	2835
524	3128	2830
525	3133	2823
526	3142	2820
527	3150	2816
528	3162	2815
529	3172	2813
530	3179	2808
531	3185	2802
532	3195	2799
533	3201	2793
534	3209	2789
535	3216	2784
536	3220	2777
537	3229	2773
538	3235	2767
539	3245	2764
540	3250	2758
541	3258	2753
542	3264	2747
543	3272	2743
544	3281	2739
545	3289	2735
546	3296	2730
547	3304	2725
548	3311	2720
549	3319	2716
550	3328	2712
551	3336	2707
552	3342	2702
553	3349	2696
554	3357	2692
555	3364	2686
556	3369	2679
557	3377	2675
558	3383	2669
559	3391	2664
560	3399	2660
561	3407	2655
562	3414	2650
563	3418	2642
564	3426	2638
565	3430	2630
566	3439	2626
567	3447	2621
568	3454	2616
569	3458	2608
570	3466	2604
571	3470	2596
572	3479	2592
573	3487	2587
574	3494	2582
575	3500	2576
576	3509	2572
577	3516	2567
578	3520	2560
579	3530	2556
580	3535	2549
581	3541	2543
582	3549	2538
583	3558	2534
584	3564	2528
585	3573	2524
586	3578	2518
587	3587	2513
588	3593	2507
589	3601	2502
590	3609	2497
591	3616	2492
592	3623	2487
593	3629	2481
594	3638	2476
595	3643	2469
596	3652	2465
597	3657	2458
598	3666	2454
599	3672	2448
600	3680	2443
601	3688	2438
602	3696	2433
603	3703	2428
604	3709	2421
605	3717	2417
606	3723	2410
607	3733	2406
608	3744	2403
609	3756	2401
610	3762	2395
611	3781	2397
612	3794	2395
613	3806	2393
614	3820	2391
615	3827	2386
616	3838	2382
617	3846	2377
618	3856	2373
619	3864	2368
620	3874	2364
621	3878	2356
622	3887	2352
623	3893	2345
624	3903	2341
625	3909	2335
626	3917	2330
627	3934	2330
628	3947	2328
629	3959	2325
630	3968	2320
631	3977	2315
632	3988	2312
633	3997	2307
634	4005	2302
635	4015	2297
636	4020	2291
637	4029	2286
638	4038	2281
639	4046	2275
640	4054	2270
641	4063	2265
642	4067	2258
643	4078	2254
644	4087	2249
645	4091	2242
646	4101	2237
647	4106	2230
648	4116	2226
649	4127	2222
650	4133	2215
651	4141	2210
652	4154	2207
653	4162	2202
654	4170	2196
655	4179	2191
656	4187	2186
657	4193	2179
658	4201	2174
659	4209	2168
660	4217	2163
661	4223	2156
662	4232	2151
663	4241	2146
664	4248	2140
665	4256	2134
666	4263	2128
667	4267	2120
668	4275	2115
669	4281	2108
670	4289	2103
671	4296	2097
672	4304	2091
673	4309	2084
674	4316	2078
675	4323	2072
676	4327	2064
677	4336	2059
678	4340	2052
679	4349	2046
680	4357	2041
681	4365	2035
682	4371	2028
683	4379	2023
684	4388	2017
685	4394	2011
686	4403	2006
